Book_ID,Title,Authors,Total_Pages,No. of Reviews,Average_Rating,No. of Ratings,ISBN,ISBN13,Language,Genres
2767052,The Hunger Games,Suzanne Collins,374,182307,4.32,7239474,439023483,9.78E+12,English,"['Young Adult', 'Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Young Adult', 'Teen', 'Apocalyptic', 'Post Apocalyptic', 'Action']"
2,Harry Potter and the Order of the Phoenix,J.K. Rowling,870,50284,4.5,2875919,,,English,"['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Childrens', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']"
2657,To Kill a Mockingbird,Harper Lee,336,101223,4.27,5165535,,,English,"['Classics', 'Fiction', 'Historical', 'Historical Fiction', 'Academic', 'School', 'Literature', 'Young Adult', 'Historical', 'Academic', 'Read For School', 'Novels', 'Young Adult', 'High School']"
1885,Pride and Prejudice,Jane Austen,279,83740,4.28,3516185,,,English,"['Classics', 'Fiction', 'Romance', 'Historical', 'Historical Fiction', 'Literature', 'Historical', 'Novels', 'Romance', 'Historical Romance', 'Audiobook', 'Adult']"
19063,The Book Thief,Markus Zusak,552,124310,4.38,2126656,,,English,"['Historical', 'Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II', 'Holocaust', 'War', 'World War II', 'Writing', 'Books About Books', 'Audiobook']"
41865,Twilight,Stephenie Meyer,498,113166,3.62,5633124,316015849,9.78E+12,English,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Paranormal', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Fantasy', 'Supernatural', 'Fantasy', 'Urban Fantasy', 'Young Adult', 'Teen']"
170448,Animal Farm,George Orwell,141,69995,3.97,3191991,451526341,9.78E+12,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Fantasy', 'Literature', 'Politics', 'Academic', 'School', 'Science Fiction', 'Novels', 'Academic', 'Read For School']"
11127,The Chronicles of Narnia,C.S. Lewis,767,11195,4.26,578214,66238501,9.78E+12,English,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Childrens', 'Middle Grade', 'Science Fiction Fantasy', 'Christian Fiction']"
30,J.R.R. Tolkien 4-Book Boxed Set,J.R.R. Tolkien,1728,1957,4.6,120850,345538374,9.78E+12,English,"['Fantasy', 'Fiction', 'Classics', 'Adventure', 'Science Fiction Fantasy', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Young Adult', 'Literature', 'Fantasy', 'Magic']"
11870085,The Fault in Our Stars,John Green,313,164087,4.17,4215454,,,English,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Young Adult', 'Teen', 'Young Adult', 'Coming Of Age', 'Novels', 'Drama', 'Love']"
18405,Gone with the Wind,Margaret Mitchell,1037,21571,4.3,1140973,446675539,9.78E+12,English,"['Classics', 'Historical', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'War', 'Literature', 'Military History', 'Civil War', 'Romance', 'Historical Romance', 'Novels']"
386162,The Hitchhiker's Guide to the Galaxy,Douglas Adams,193,35387,4.22,1611431,,,English,"['Science Fiction', 'Fiction', 'Humor', 'Classics', 'Fantasy', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Novels']"
370493,The Giving Tree,Shel Silverstein,64,19636,4.37,1003337,60256656,9.78E+12,English,"['Childrens', 'Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Young Adult', 'Fantasy', 'Childrens', 'Juvenile', 'Kids', 'Short Stories']"
6185,Wuthering Heights,Emily Brontë,464,45422,3.87,1529040,,,English,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Literature', 'Historical', 'Historical Fiction', 'Literature', '19th Century', 'Novels', 'Historical', 'Classics', 'Classic Literature']"
5297,The Picture of Dorian Gray,Oscar Wilde,272,41743,4.1,1164487,,,English,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Gothic', 'Literature', 'Novels', 'Literature', '19th Century', 'LGBT', 'Classics', 'Classic Literature']"
968,The Da Vinci Code,Dan Brown,489,50144,3.88,2118512,,,English,"['Fiction', 'Mystery', 'Thriller', 'Thriller', 'Mystery Thriller', 'Suspense', 'Historical', 'Historical Fiction', 'Adventure', 'Novels', 'Mystery', 'Crime', 'Adult']"
